localtime,Precipitation
2023-09-03 18:00:00,15.0
2023-09-03 23:00:00,18.0
2023-09-04 00:00:00,18.0
2023-09-04 06:00:00,0.5
2023-09-04 11:00:00,1.0
2023-09-04 12:00:00,1.0
2023-09-04 18:00:00,0.001
2023-09-04 23:00:00,0.0005
2023-09-05 00:00:00,0.0005
2023-09-05 23:00:00,0.0005
2023-09-06 00:00:00,0.0005
2023-09-06 06:00:00,0.001
2023-09-06 11:00:00,0.25
2023-09-06 12:00:00,0.25
2023-09-07 11:00:00,0.0005
2023-09-07 12:00:00,0.0005
2023-09-07 18:00:00,2.0
2023-09-07 23:00:00,32.5
2023-09-08 00:00:00,32.5
2023-09-08 06:00:00,38.0
2023-09-08 11:00:00,21.0
2023-09-08 12:00:00,21.0
2023-09-08 18:00:00,2.0
2023-09-08 23:00:00,1.0
2023-09-09 00:00:00,1.0
2023-09-09 06:00:00,0.5
2023-09-09 11:00:00,0.25
2023-09-09 12:00:00,0.25
